player_id,name_full,primary_position,ab,r,h,rbi,hr,sb
405395,"Pujols, Albert",3,152,15,34,25,6,0
408234,"Cabrera, Miguel",3,204,28,51,35,10,1
425877,"Molina, Yadier",2,145,12,38,16,4,0
429664,"Cano, Robinson",4,171,23,54,30,10,0
435559,"Suzuki, Kurt",2,111,15,30,17,2,1
443558,"Cruz, Nelson",D,185,33,56,33,16,0
444482,"Peralta, David",7,203,19,61,34,5,1
444489,"Pina, Manny",2,39,4,9,5,2,0
446334,"Longoria, Evan",5,193,26,49,28,7,0
453568,"Blackmon, Charlie",9,221,31,67,42,6,2
455117,"Maldonado, Martin",2,135,19,29,24,6,1
455139,"Chirinos, Robinson",2,74,4,12,7,1,0
456715,"Cain, Lorenzo",8,18,4,6,2,0,0
456781,"Solano, Donovan",4,190,22,62,29,3,0
457705,"McCutchen, Andrew",7,217,32,55,34,10,4
457708,"Upton, Justin",7,147,20,30,22,9,0
457759,"Turner, Justin",5,150,26,46,23,4,1
458015,"Votto, Joey",3,186,32,42,22,11,0
462101,"Andrus, Elvis",6,103,11,20,7,3,3
467793,"Santana, Carlos",3,206,34,41,30,8,0
474832,"Belt, Brandon",3,149,25,46,30,9,0
488726,"Brantley, Michael",7,170,24,51,22,5,2
488771,"Castro, Jason",2,80,8,15,9,2,0
493329,"Gurriel, Yuli",3,211,27,49,22,6,0
500743,"Rojas, Miguel",6,125,20,38,20,4,5
500871,"Escobar, Eduardo",4,203,22,43,20,4,1
501303,"Adrianza, Ehire",5,89,10,17,3,0,1
502054,"Pham, Tommy",7,109,13,23,12,3,6
502110,"Martinez, J.D.",7,211,22,45,27,7,1
502671,"Goldschmidt, Paul",3,191,31,58,21,6,1
514888,"Altuve, Jose",4,192,32,42,18,5,2
514917,"Hernandez, Cesar",4,233,35,66,20,3,0
516416,"Segura, Jean",4,192,28,51,25,7,2
516782,"Marte, Starling",8,228,36,64,27,6,10
518595,"d'Arnaud, Travis",2,165,19,53,34,9,1
518626,"Donaldson, Josh",5,81,14,18,11,6,0
518692,"Freeman, Freddie",3,214,51,73,53,13,2
518735,"Grandal, Yasmani",2,161,27,37,27,8,0
518792,"Heyward, Jason",9,147,20,39,22,6,2
518934,"LeMahieu, DJ",4,195,41,71,27,10,3
519058,"Moustakas, Mike",5,139,13,32,27,8,1
519203,"Rizzo, Anthony",3,203,26,45,24,11,3
519317,"Stanton, Giancarlo",D,76,12,19,11,4,1
519390,"Vogt, Stephen",2,72,6,12,7,1,0
521692,"Perez, Salvador",2,150,22,50,32,11,1
527038,"Flores, Wilmer",4,198,30,53,32,12,1
541645,"Garcia, Avisail",9,181,20,43,15,2,1
542303,"Ozuna, Marcell",7,228,38,77,56,18,0
542340,"Villar, Jonathan",5,185,13,43,15,2,16
542583,"Aguilar, Jesus",3,188,31,52,34,8,0
542932,"Berti, Jon",5,120,21,31,14,2,9
543063,"Crawford, Brandon",6,172,26,44,28,8,1
543068,"Cron, C.J.",3,42,9,8,8,4,0
543105,"Dickerson, Alex",7,151,28,45,27,10,0
543228,"Gomes, Yan",2,109,14,31,13,4,1
543257,"Grossman, Robbie",7,166,23,40,23,8,8
543281,"Harrison, Josh",4,79,11,22,14,3,1
543305,"Hicks, Aaron",8,169,28,38,21,6,4
543309,"Higashioka, Kyle",2,48,7,12,10,4,0
543333,"Hosmer, Eric",3,143,23,41,36,9,4
543510,"McCann, James",2,97,20,28,15,7,1
543543,"Miller, Brad",4,142,21,33,25,7,1
543592,"Nola, Austin",2,161,24,44,28,7,0
543685,"Rendon, Anthony",5,189,29,54,31,9,0
543760,"Semien, Marcus",4,211,28,47,23,7,4
543807,"Springer, George",O,189,37,50,32,14,1
543877,"Vazquez, Christian",2,173,22,49,23,7,4
543939,"Wong, Kolten",4,181,26,48,16,1,5
544369,"Gregorius, Didi",6,215,34,61,40,10,3
544725,"Garcia, Leury",8,59,6,16,8,3,0
545341,"Grichuk, Randal",8,216,38,59,35,12,1
545358,"Stassi, Max",2,90,12,25,20,7,0
545361,"Trout, Mike",8,199,41,56,46,17,1
546990,"Alford, Anthony",7,28,5,6,7,2,3
547180,"Harper, Bryce",9,190,41,51,33,13,8
547379,"Perez, Roberto",2,97,6,16,5,1,0
547989,"Abreu, Jose",3,240,43,76,60,19,0
553869,"Diaz, Elias",2,68,4,16,9,2,0
553882,"Narvaez, Omar",2,108,8,19,10,2,0
553993,"Suarez, Eugenio",5,198,29,40,38,15,2
570482,"Urshela, Gio",5,151,24,45,30,6,1
570731,"Schoop, Jonathan",3,162,26,45,23,8,0
571448,"Arenado, Nolan",5,182,23,46,26,8,0
571466,"Barnhart, Tucker",2,98,10,20,13,5,0
571657,"Farmer, Kyle",6,64,4,17,4,0,1
571771,"Hernandez, Enrique",8,139,20,32,20,5,0
571970,"Muncy, Max",3,203,36,39,27,12,1
571976,"Myers, Wil",9,198,34,57,40,15,2
571980,"Naquin, Tyler",8,133,15,29,20,4,0
572039,"Piscotty, Stephen",9,159,17,36,29,5,4
572041,"Pollock, AJ",7,196,30,54,34,16,2
572191,"Taylor, Michael A.",8,92,11,18,16,5,0
572228,"Voit, Luke",3,213,41,59,52,22,0
572233,"Walker, Christian",3,218,35,59,34,7,1
572287,"Zunino, Mike",2,75,8,11,10,4,0
572816,"Dickerson, Corey",7,194,25,50,17,7,1
572863,"Garneau, Dustin",2,38,4,6,4,1,0
573131,"Ruf, Darin",7,87,11,24,18,5,1
573262,"Yastrzemski, Mike",9,192,39,57,35,10,2
575929,"Contreras, Willson",2,189,37,46,26,7,1
578428,"Iglesias, Jose",6,142,16,53,24,3,0
592178,"Bryant, Kris",7,131,20,27,11,4,0
592192,"Canha, Mark",7,191,32,47,33,5,4
592200,"Casali, Curt",2,76,10,17,8,6,2
592206,"Castellanos, Nick",9,218,37,49,34,14,0
592325,"Gamel, Ben",7,114,13,27,10,3,0
592348,"Goodrum, Niko",6,158,15,29,20,5,7
592450,"Judge, Aaron",9,101,23,26,22,9,0
592518,"Machado, Manny",5,224,44,68,47,16,6
592567,"Moran, Colin",3,178,28,44,23,10,0
592626,"Pederson, Joc",7,121,21,23,16,7,1
592663,"Realmuto, J.T.",2,173,33,46,32,11,4
592669,"Renfroe, Hunter",9,122,18,19,22,8,2
592696,"Rosario, Eddie",7,210,31,54,42,13,3
592743,"Simmons, Andrelton",6,118,19,35,10,0,2
592885,"Yelich, Christian",7,200,39,41,22,12,4
593160,"Merrifield, Whit",4,248,38,70,30,9,12
593428,"Bogaerts, Xander",6,203,36,61,28,11,8
593643,"Alberto, Hanser",5,219,35,62,22,3,3
593871,"Polanco, Jorge",4,209,22,54,19,4,4
593934,"Sano, Miguel",3,186,31,38,25,13,0
594777,"Calhoun, Kole",9,190,35,43,40,16,1
594807,"Duvall, Adam",9,190,34,45,33,16,0
595281,"Kiermaier, Kevin",8,138,16,30,22,3,8
595751,"Alfaro, Jorge",2,93,12,21,16,3,2
